geneName	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	custom_gene_name	group
RASB_ASPFU	86.4865104821593	8.00714593099447	1.62244522832287	4.93523343112884	8.00549531025518e-07	0.000856587998197304	TRINITY_DN1103_c0_g1	infection effect on chytrid gene expression in absence of MET
ERAP1_RAT	51.8614221813697	7.99360871691009	1.75991716106205	4.54203691728661	5.57132814546334e-06	0.00201053787300269	TRINITY_DN1078_c0_g1	infection effect on chytrid gene expression in absence of MET
KKCC2_RAT	40.5565574982483	-4.36288376964762	0.961079557145655	-4.53956567612894	5.63702207383933e-06	0.00201053787300269	TRINITY_DN418_c1_g3	infection effect on chytrid gene expression in absence of MET
GPA7_CAEBR	41.3618366581659	5.15331307902991	1.18312768984137	4.35566940346129	1.32660872249209e-05	0.00354867833266635	TRINITY_DN406_c0_g2	infection effect on chytrid gene expression in absence of MET
EGT1_NEUCR	28.583140073291	4.91156452079944	1.15012872126917	4.27044767248269	1.95080989638143e-05	0.00417473317825625	TRINITY_DN124_c1_g2	infection effect on chytrid gene expression in absence of MET
POLR2_ARATH	104.680954537054	-3.5427103901622	0.861617271044226	-4.11169844108239	3.92759087330997e-05	0.00700420372406945	TRINITY_DN1113_c0_g1	infection effect on chytrid gene expression in absence of MET
ACYP1_BOVIN	114.58588460338	3.67254969885936	0.916595910748287	4.00672712565473	6.15659211781333e-05	0.00731950396228919	TRINITY_DN195_c1_g1	infection effect on chytrid gene expression in absence of MET
ILVB_CRYNH	125.709640303247	-3.44144174050055	0.855627561057905	-4.02212586074894	5.76752230937191e-05	0.00731950396228919	TRINITY_DN273_c0_g1	infection effect on chytrid gene expression in absence of MET
HIS9_SCHPO	42.4624306574231	-5.00300490282958	1.24355326357013	-4.02315288728879	5.74241927360861e-05	0.00731950396228919	TRINITY_DN69_c2_g1	infection effect on chytrid gene expression in absence of MET
UBCP_ARATH	57.1803738009787	4.54365111589744	1.15575830527066	3.93131599848932	8.44821421072298e-05	0.00883041126092779	TRINITY_DN460_c0_g1	infection effect on chytrid gene expression in absence of MET
LIP_THELA.5	232.865900779427	3.51404244897692	0.897813783875047	3.91399921909195	9.07799288506595e-05	0.00883041126092779	TRINITY_DN81_c3_g1	infection effect on chytrid gene expression in absence of MET
CRYD_SOLLC	71.9606175878732	6.76591879629925	1.73883948277031	3.89105427116241	9.98096033986198e-05	0.00889968963637693	TRINITY_DN3654_c0_g1	infection effect on chytrid gene expression in absence of MET
TAGL_MOUSE	31.3757788247432	7.85993145314543	2.04169470297538	3.84970947991934	0.000118258007445616	0.00922087427384701	TRINITY_DN2780_c0_g1	infection effect on chytrid gene expression in absence of MET
YF49_SCHPO	140.080765259974	5.15743801299384	1.34140333007143	3.84480781982195	0.000120646953115755	0.00922087427384701	TRINITY_DN781_c0_g1	infection effect on chytrid gene expression in absence of MET
IF1A_SCHPO	43.2946306074843	5.52334143065627	1.44443375283309	3.82388006360476	0.000131367836435827	0.00937090566575569	TRINITY_DN2346_c0_g1	infection effect on chytrid gene expression in absence of MET
GALL2_DROME	26.7079643946354	4.33192490903348	1.19828231836388	3.61511210058431	0.000300217685244657	0.0200770577007365	TRINITY_DN1049_c0_g1	infection effect on chytrid gene expression in absence of MET
CE164_HUMAN	165.179667907122	-2.34852615904329	0.677475382293198	-3.46658523752365	0.000527114575682074	0.0331772115282247	TRINITY_DN73_c0_g1	infection effect on chytrid gene expression in absence of MET
MRCKB_HUMAN	22.7977273525061	-4.65468104784637	1.35064226249457	-3.44627232324968	0.000568377278613297	0.0337868715620126	TRINITY_DN102_c0_g3	infection effect on chytrid gene expression in absence of MET
CDA1_CRYNH.1	20.7385560887721	-3.43738645735227	1.01096144057808	-3.40011628473854	0.000673572011430903	0.0379327395911087	TRINITY_DN938_c1_g2	infection effect on chytrid gene expression in absence of MET
MST12_PYRO7	334.71303187123	-4.14860257563955	1.23825358117014	-3.35036590140055	0.000807048754452284	0.0414096744010619	TRINITY_DN1342_c0_g1	infection effect on chytrid gene expression in absence of MET
QOR_SCHPO	816.355333713151	2.61484131751051	0.780916038123935	3.3484282430572	0.000812713235908692	0.0414096744010619	TRINITY_DN74_c1_g1	infection effect on chytrid gene expression in absence of MET
HDA1A_XENLA	203.927396662429	-3.25196700720397	0.99127343476516	-3.28059533641632	0.0010358824918789	0.0489485864421913	TRINITY_DN299_c0_g1	infection effect on chytrid gene expression in absence of MET
YBT1_YEAST.1	32.785998243776	4.88312629411797	1.4999572580314	3.25551029402448	0.00113188793193316	0.0489485864421913	TRINITY_DN305_c4_g1	infection effect on chytrid gene expression in absence of MET
ATC9_SCHPO	136.390495905351	1.98690648809698	0.608069113764294	3.26756686554411	0.0010847623869932	0.0489485864421913	TRINITY_DN414_c0_g1	infection effect on chytrid gene expression in absence of MET
PROA_SCHPO	23.5097458354295	-4.39121204040719	1.35007398487514	-3.25257140690204	0.00114365856173344	0.0489485864421913	TRINITY_DN61_c1_g2	infection effect on chytrid gene expression in absence of MET
CBPA3_RAT	109.682316335877	-1.78250112042425	0.554548423935169	-3.21432907116628	0.00130749734666796	0.0493381251737044	TRINITY_DN104_c0_g2	infection effect on chytrid gene expression in absence of MET
LIP_THELA.1	71.6782092252924	-2.25510512877405	0.697270998468696	-3.23418747334475	0.00121989350915514	0.0493381251737044	TRINITY_DN153_c0_g1	infection effect on chytrid gene expression in absence of MET
IPO9_MOUSE	104.279517858602	-2.23409455907842	0.695161558061582	-3.21377747830025	0.00131001153432411	0.0493381251737044	TRINITY_DN222_c0_g2	infection effect on chytrid gene expression in absence of MET
MLH1_HUMAN	141.513846811195	-2.22660536650645	0.694106280652988	-3.20787382072346	0.00133720152339947	0.0493381251737044	TRINITY_DN673_c0_g1	infection effect on chytrid gene expression in absence of MET
CY24B_MOUSE	72.7231555445483	3.16102125935879	0.989339673658716	3.19508187483162	0.00139791177232165	0.0498588532128056	TRINITY_DN427_c0_g1	infection effect on chytrid gene expression in absence of MET
RAN1_SCHPO	11928.4661010772	5.22025015395175	1.1041301248787	4.72793019258055	2.26820133646947e-06	0.00258574952357519	TRINITY_DN447_c0_g1	infection effect on chytrid gene expression in presence of MET
IF172_HUMAN	674.500076763172	-4.97762336614692	1.11704730784664	-4.45605421648829	8.34819279802303e-06	0.00475846989487313	TRINITY_DN555_c0_g2	infection effect on chytrid gene expression in presence of MET
MRP5_HUMAN	8.18424232454792	-4.7518694981363	1.24385266868568	-3.82028323592165	0.000133298510988439	0.0379900756317051	TRINITY_DN22751_c0_g1	infection effect on chytrid gene expression in presence of MET
METE_DICDI	51.8467644893506	-2.71741079050268	0.710485172461602	-3.8247255478784	0.00013091784528162	0.0379900756317051	TRINITY_DN938_c0_g2	infection effect on chytrid gene expression in presence of MET
FEN1_NEMVE	903.784835591068	3.46976168079708	0.946484494359753	3.66594667052014	0.000246425279599895	0.04682080312398	TRINITY_DN18_c0_g1	infection effect on chytrid gene expression in presence of MET
SYKC_SCHPO	103.040335984411	-3.0675838932676	0.831161152101687	-3.69072096970708	0.000223619333798802	0.04682080312398	TRINITY_DN6_c1_g1	infection effect on chytrid gene expression in presence of MET
DNJA4_HUMAN	22.3874227013515	-5.82174180304769	1.37775357895693	-4.22553197608472	2.38376971346568e-05	0.0172668186996201	TRINITY_DN431_c0_g1	MET effect on chytrid gene expression in absence of cyanobacteria
RHB1_SCHPO	79.1358686961252	4.74255806042485	1.13696191317584	4.17125499584908	3.02926643852983e-05	0.0172668186996201	TRINITY_DN948_c0_g1	MET effect on chytrid gene expression in absence of cyanobacteria
ERAP1_RAT1	51.8614221813697	-6.99553891017368	1.81823830176746	-3.84742687653952	0.000119364887214895	0.013787781068015	TRINITY_DN1078_c0_g1	MET effect on chytrid gene expression in presence of cyanobacteria
EGT1_NEUCR1	28.583140073291	-4.63904956070985	1.18127673840485	-3.92714882964195	8.59587944031833e-05	0.013787781068015	TRINITY_DN124_c1_g2	MET effect on chytrid gene expression in presence of cyanobacteria
FNTB_PEA	275.679602533995	-6.97137095560995	1.79316763099183	-3.88774079741445	0.000101181591571601	0.013787781068015	TRINITY_DN1295_c0_g1	MET effect on chytrid gene expression in presence of cyanobacteria
KAPCB_BOVIN	164.629421825923	-4.73902346108617	1.17118678079141	-4.04634302470853	5.20239829273171e-05	0.013787781068015	TRINITY_DN246_c0_g1	MET effect on chytrid gene expression in presence of cyanobacteria
ILVB_CRYNH1	125.709640303247	3.4551962315318	0.892650591587246	3.87071522059715	0.000108516503121259	0.013787781068015	TRINITY_DN273_c0_g1	MET effect on chytrid gene expression in presence of cyanobacteria
ARFRP_MOUSE	150.676278142492	7.55605500756012	1.85345305583895	4.07674474611385	4.56705806296904e-05	0.013787781068015	TRINITY_DN75_c1_g1	MET effect on chytrid gene expression in presence of cyanobacteria
T111_SCHPO	128.201601626651	-3.36605827907057	0.820787822619971	-4.10100903827501	4.11352491033007e-05	0.013787781068015	TRINITY_DN78_c0_g1	MET effect on chytrid gene expression in presence of cyanobacteria
CEK1_SCHPO	252.124003203666	3.77779121203756	0.972869130912751	3.88314429145595	0.000103114335839729	0.013787781068015	TRINITY_DN795_c0_g1	MET effect on chytrid gene expression in presence of cyanobacteria
PLCD4_PIG	103.046215107866	-4.14447957284258	1.07811186257249	-3.8442018094054	0.000120945447965044	0.013787781068015	TRINITY_DN81_c1_g1	MET effect on chytrid gene expression in presence of cyanobacteria
POLX_TOBAC.23	26.4063201961643	-8.10283819888099	1.8666976555153	-4.3407341167117	1.4200747393722e-05	0.013787781068015	TRINITY_DN9007_c0_g1	MET effect on chytrid gene expression in presence of cyanobacteria
CFT2_SCHPO	94.0712885487586	-3.52855129912966	0.952889951751808	-3.70299979829015	0.000213065051585946	0.0202411799006649	TRINITY_DN1097_c0_g1	MET effect on chytrid gene expression in presence of cyanobacteria
ACYP1_BOVIN1	114.58588460338	-3.53121638754884	0.952970941518325	-3.70548170327494	0.00021098936117632	0.0202411799006649	TRINITY_DN195_c1_g1	MET effect on chytrid gene expression in presence of cyanobacteria
XPO1_HUMAN	180.044639657474	-5.58121328165167	1.52849999598112	-3.65143166262763	0.000260782494358767	0.0228686187360765	TRINITY_DN910_c1_g1	MET effect on chytrid gene expression in presence of cyanobacteria
POLX_TOBAC.20	81.414101010664	-6.3656990673772	1.79393296546929	-3.54845983094578	0.000387491096916003	0.0315528464631602	TRINITY_DN750_c0_g1	MET effect on chytrid gene expression in presence of cyanobacteria
SUCA_DICDI	193.875712601296	3.34926380875215	0.970835549560719	3.44987759282983	0.000560840793461779	0.0403955340954324	TRINITY_DN1004_c0_g1	MET effect on chytrid gene expression in presence of cyanobacteria
IF1A_SCHPO1	43.2946306074843	-5.12687060937196	1.48736464908631	-3.44694934932156	0.000566954864497297	0.0403955340954324	TRINITY_DN2346_c0_g1	MET effect on chytrid gene expression in presence of cyanobacteria
SPTC1_SCHPO	20.0844081660836	-2.6130427229384	0.76852830315959	-3.40006049509901	0.000673709460243898	0.0426682658154469	TRINITY_DN198_c1_g2	MET effect on chytrid gene expression in presence of cyanobacteria
LTN1_MOUSE	53.2665918978415	2.35402975018595	0.689348861758416	3.41485984930939	0.000638148376424137	0.0426682658154469	TRINITY_DN526_c0_g1	MET effect on chytrid gene expression in presence of cyanobacteria
YBT1_YEAST.11	32.785998243776	-5.22375662600035	1.54474998151897	-3.38161947790656	0.0007205988838707	0.043235933032242	TRINITY_DN305_c4_g1	MET effect on chytrid gene expression in presence of cyanobacteria
GeneID:77289563	359.905772844162	-4.09716387414629	0.360758965248581	-11.357067374121	6.84024398317855e-30	1.41387843132301e-26	cyano_gene3387	infection effect on cyanobacteria gene expression in absence of MET
GeneID:77286304	610.815823747819	-3.19199835066542	0.3669693914422	-8.6982686433895	3.36986011910555e-18	3.48275043309558e-15	cyano_gene164	infection effect on cyanobacteria gene expression in absence of MET
pruA	568.694662744188	-2.29106660315625	0.303432039450707	-7.55050985157564	4.33557601149005e-14	2.98721187191664e-11	cyano_gene1408	infection effect on cyanobacteria gene expression in absence of MET
GeneID:77287938	54.2492651350605	-3.80926072899866	0.522622789591913	-7.28873827330242	3.12871171515245e-13	1.61676177880503e-10	cyano_gene1778	infection effect on cyanobacteria gene expression in absence of MET
GeneID:77287357	447.842251368243	-3.23122785493303	0.457079168927369	-7.0692958126177	1.55721879615262e-12	6.43754250329493e-10	cyano_gene1208	infection effect on cyanobacteria gene expression in absence of MET
GeneID:77289910	163.083207935209	-2.49867838448211	0.368750164860512	-6.77607394542398	1.23485494258769e-11	4.25407527721461e-09	cyano_gene3730	infection effect on cyanobacteria gene expression in absence of MET
GeneID:77286570	150.545110963642	-2.17341876754437	0.336367020164682	-6.46145025300128	1.03704248911696e-10	2.67945853125594e-08	cyano_gene426	infection effect on cyanobacteria gene expression in absence of MET
GeneID:77287072	114.990770596006	-2.61038526455925	0.40303719761569	-6.47678497171457	9.36975695439043e-11	2.67945853125594e-08	cyano_gene925	infection effect on cyanobacteria gene expression in absence of MET
